Date,Close
9/9/2019,6326.21
9/10/2019,6336.67
9/11/2019,6381.95
9/12/2019,6342.17
9/13/2019,6334.84
9/16/2019,6219.44
9/17/2019,6236.69
9/18/2019,6276.63
9/19/2019,6244.47
9/20/2019,6231.47
9/23/2019,6206.2
9/24/2019,6137.61
9/25/2019,6146.4
9/26/2019,6230.33
9/27/2019,6196.89
9/30/2019,6169.1
10/1/2019,6138.25
10/2/2019,6055.42
10/3/2019,6038.53
10/4/2019,6061.25
10/7/2019,6000.58
10/8/2019,6039.6
10/9/2019,6029.16
10/10/2019,6023.64
10/11/2019,6105.8
10/14/2019,6126.88
10/15/2019,6158.17
10/16/2019,6169.59
10/17/2019,6181.01
10/18/2019,6191.95
10/21/2019,6198.99
10/22/2019,6225.5
10/23/2019,6257.81
10/24/2019,6339.65
10/25/2019,6252.35
10/28/2019,6265.38
10/29/2019,6281.14
10/30/2019,6295.75
10/31/2019,6228.32
11/1/2019,6207.19
11/4/2019,6180.34
11/5/2019,6264.15
11/6/2019,6217.54
11/7/2019,6165.62
11/8/2019,6177.99
11/11/2019,6148.74
11/12/2019,6180.99
11/13/2019,6142.5
11/14/2019,6098.95
11/15/2019,6128.35
11/18/2019,6122.63
11/19/2019,6152.09
11/20/2019,6155.11
11/21/2019,6117.36
11/22/2019,6100.24
11/25/2019,6070.76
11/26/2019,6026.19
11/27/2019,6023.04
11/28/2019,5953.06
11/29/2019,6011.83
12/2/2019,6130.06
12/3/2019,6133.9
12/4/2019,6112.88
12/5/2019,6152.12
12/6/2019,6186.87
12/9/2019,6193.79
12/10/2019,6183.5
12/11/2019,6180.1
12/12/2019,6139.4
12/13/2019,6197.32
12/16/2019,6211.59
12/17/2019,6244.35
12/18/2019,6287.25
12/19/2019,6249.93
12/20/2019,6284.37
12/23/2019,6305.91
12/26/2019,6319.44
12/27/2019,6329.31
12/30/2019,6299.54
1/2/2020,6283.58
1/3/2020,6323.47
1/6/2020,6257.4
1/7/2020,6279.35
1/8/2020,6225.69
1/9/2020,6274.49
1/10/2020,6274.94
1/13/2020,6296.57
1/14/2020,6325.41
1/15/2020,6283.37
1/16/2020,6286.05
1/17/2020,6291.66
1/20/2020,6245.04
1/21/2020,6238.15
1/22/2020,6233.45
1/23/2020,6249.21
1/24/2020,6244.11
1/27/2020,6133.21
